"","CentroidX","CentroidY","Mass","Width","Depth","Orientation0","Orientation1","Orientation2","Orientation3","Orientation4","Orientation5","Orientation6","Orientation7","Orientation8","Orientation9","Leaf.weight","LeafArea","Leaf.Hue"
"mean",159.032395424586,239.10667340953,0.349743618454039,218.282438368802,527.521834066667,0.241884884899433,0.183577126256303,0.125053041997211,0.0850361615509066,0.0670584988788732,0.0504381805287517,0.0520727881180556,0.0562529034725738,0.0638333346256983,0.0743341619777778,0.0282108626198083,9836.6201800211,61.7606097618513
"median",158.4238314,242.56175625,0.3456485335,220.07799555,478.4548071,0.2492458815,0.1839960985,0.124691054,0.082130655,0.0654620135,0.050377285,0.051741042,0.055046583,0.0617064615,0.0699334695,0.03,10039.50726,61.83791842
"min",110.3001042,154.0731417,0.1316,138.0912337,328.6874215,0.150085676,0.149263406,0.105141912,0.072157606,0.057501859,0.043237501,0.043753744,0.043725419,0.045384442,0.049406592,0.01,6629.747971,49.49600122
"max",218.1901549,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"Range",107.8900507,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"IQR",28.6968,52.28742635,0.08278136825,41.10206845,270.01703425,0.071629032,0.01460774,0.020008372,0.013761764,0.00990252,0.00468576,0.005444988,0.00622112850000001,0.01264691775,0.017534429,0.02,1306.7849415,5.86613094999999
"var",461.767914345689,1120.2050189335,0.00392905199014141,842.034603100545,15517.4496642612,0.00179683006415595,0.000201224595357335,0.000152104442765938,0.0001130212430825,4.58242215097255e-05,1.95134332007338e-05,1.98867036026468e-05,3.48134880363692e-05,8.77594450190031e-05,0.000225930679917986,0.000201275907266323,2263594.80958908,18.0063818350014
"sd",21.4887857810926,33.4694639773853,0.0626821504907211,29.017832501766,124.569055805449,0.0423890323569192,0.0141853655348509,0.0123330629920526,0.01063114495633,0.00676935901764159,0.00441740118177349,0.00445945104274583,0.005900295588898,0.00936800112185108,0.0150309906499201,0.0141871740408836,1504.52477865573,4.24339272693459
"n_NA",0,0,6,6,4,18,10,7,7,14,11,4,13,8,4,411,13,11
